cep,longitude,latitude
82821020,-49.2160678,-25.4233146
81350686,-49.3400481,-25.4936598
82530380,-49.233606,-25.4300626
82930390,-49.2047594,-25.4608672
81320083,-49.3183277,-25.4770955
